time,emitter_id,emitter_type,band,active,prev_active
1,E1,periodic,1,0,0.0
1,E2,burst,2,0,0.0
1,E3,hopper,5,1,0.0
2,E1,periodic,1,0,1.0
2,E2,burst,2,0,0.0
2,E3,hopper,8,1,0.0
3,E1,periodic,1,0,1.0
3,E2,burst,2,0,0.0
3,E3,hopper,3,1,0.0
4,E1,periodic,1,0,1.0
4,E2,burst,2,0,0.0
4,E3,hopper,5,1,0.0
5,E1,periodic,1,1,1.0
5,E2,burst,2,0,1.0
5,E3,hopper,8,1,0.0
6,E1,periodic,1,0,1.0
6,E2,burst,2,0,0.0
6,E3,hopper,3,1,0.0
7,E1,periodic,1,0,1.0
7,E2,burst,2,0,0.0
7,E3,hopper,5,1,0.0
8,E1,periodic,1,0,1.0
8,E2,burst,2,0,0.0
8,E3,hopper,8,1,0.0
9,E1,periodic,1,0,1.0
9,E2,burst,2,0,0.0
9,E3,hopper,3,1,0.0
10,E1,periodic,1,1,1.0
10,E2,burst,2,0,1.0
10,E3,hopper,5,1,0.0
11,E1,periodic,1,0,1.0
11,E2,burst,2,0,0.0
11,E3,hopper,8,1,0.0
12,E1,periodic,1,0,1.0
12,E2,burst,2,0,0.0
12,E3,hopper,3,1,0.0
13,E1,periodic,1,0,1.0
13,E2,burst,2,0,0.0
13,E3,hopper,5,1,0.0
14,E1,periodic,1,0,1.0
14,E2,burst,2,0,0.0
14,E3,hopper,8,1,0.0
15,E1,periodic,1,1,1.0
15,E2,burst,2,0,1.0
15,E3,hopper,3,1,0.0
16,E1,periodic,1,0,1.0
16,E2,burst,2,0,0.0
16,E3,hopper,5,1,0.0
17,E1,periodic,1,0,1.0
17,E2,burst,2,0,0.0
17,E3,hopper,8,1,0.0
18,E1,periodic,1,0,1.0
18,E2,burst,2,0,0.0
18,E3,hopper,3,1,0.0
19,E1,periodic,1,0,1.0
19,E2,burst,2,0,0.0
19,E3,hopper,5,1,0.0
20,E1,periodic,1,1,1.0
20,E2,burst,2,1,1.0
20,E3,hopper,8,1,1.0
21,E1,periodic,1,0,1.0
21,E2,burst,2,1,0.0
21,E3,hopper,3,1,1.0
22,E1,periodic,1,0,1.0
22,E2,burst,2,1,0.0
22,E3,hopper,5,1,1.0
23,E1,periodic,1,0,1.0
23,E2,burst,2,1,0.0
23,E3,hopper,8,1,1.0
24,E1,periodic,1,0,1.0
24,E2,burst,2,1,0.0
24,E3,hopper,3,1,1.0
25,E1,periodic,1,1,1.0
25,E2,burst,2,1,1.0
25,E3,hopper,5,1,1.0
26,E1,periodic,1,0,1.0
26,E2,burst,2,1,0.0
26,E3,hopper,8,1,1.0
27,E1,periodic,1,0,1.0
27,E2,burst,2,1,0.0
27,E3,hopper,3,1,1.0
28,E1,periodic,1,0,1.0
28,E2,burst,2,1,0.0
28,E3,hopper,5,1,1.0
29,E1,periodic,1,0,1.0
29,E2,burst,2,1,0.0
29,E3,hopper,8,1,1.0
30,E1,periodic,1,1,1.0
30,E2,burst,2,1,1.0
30,E3,hopper,3,1,1.0
31,E1,periodic,1,0,1.0
31,E2,burst,2,0,0.0
31,E3,hopper,5,1,0.0
32,E1,periodic,1,0,1.0
32,E2,burst,2,0,0.0
32,E3,hopper,8,1,0.0
33,E1,periodic,1,0,1.0
33,E2,burst,2,0,0.0
33,E3,hopper,3,1,0.0
34,E1,periodic,1,0,1.0
34,E2,burst,2,0,0.0
34,E3,hopper,5,1,0.0
35,E1,periodic,1,1,1.0
35,E2,burst,2,0,1.0
35,E3,hopper,8,1,0.0
36,E1,periodic,1,0,1.0
36,E2,burst,2,0,0.0
36,E3,hopper,3,1,0.0
37,E1,periodic,1,0,1.0
37,E2,burst,2,0,0.0
37,E3,hopper,5,1,0.0
