time,band,active
1,1,0
1,2,1
1,3,1
1,4,0
1,5,1
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,1
2,2,0
2,3,1
2,4,0
2,5,0
2,6,0
2,7,0
2,8,1
2,9,1
2,10,0
3,1,0
3,2,1
3,3,0
3,4,1
3,5,1
3,6,0
3,7,1
3,8,1
3,9,1
3,10,0
4,1,0
4,2,1
4,3,0
4,4,0
4,5,0
4,6,0
4,7,1
4,8,1
4,9,0
4,10,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,0
5,9,1
5,10,0
6,1,1
6,2,1
6,3,0
6,4,0
6,5,1
6,6,1
6,7,0
6,8,0
6,9,0
6,10,0
7,1,1
7,2,0
7,3,0
7,4,1
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,1
8,1,1
8,2,1
8,3,0
8,4,1
8,5,0
8,6,0
8,7,1
8,8,0
8,9,1
8,10,1
9,1,0
9,2,0
9,3,1
9,4,0
9,5,0
9,6,1
9,7,1
9,8,0
9,9,1
9,10,0
10,1,0
10,2,1
10,3,0
10,4,0
10,5,1
10,6,1
10,7,1
10,8,0
10,9,0
10,10,1
11,1,1
11,2,1
11,3,0
11,4,0
11,5,0
11,6,1
11,7,0
11,8,1
11,9,0
11,10,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,0
12,7,1
12,8,0
12,9,0
12,10,0
13,1,1
13,2,0
13,3,0
13,4,1
13,5,1
13,6,1
13,7,0
13,8,1
13,9,0
13,10,0
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,0
14,7,0
14,8,1
14,9,1
14,10,0
15,1,1
15,2,1
15,3,0
15,4,0
15,5,1
15,6,1
15,7,0
15,8,0
15,9,1
15,10,0
16,1,1
16,2,0
16,3,0
16,4,1
16,5,1
16,6,1
16,7,0
16,8,0
16,9,1
16,10,1
17,1,0
17,2,1
17,3,1
17,4,0
17,5,0
17,6,1
17,7,0
17,8,1
17,9,0
17,10,0
18,1,1
18,2,1
18,3,1
18,4,1
18,5,0
18,6,1
18,7,1
18,8,1
18,9,0
18,10,1
19,1,0
19,2,1
19,3,0
19,4,1
19,5,1
19,6,1
19,7,0
19,8,1
19,9,0
19,10,0
20,1,1
20,2,0
20,3,0
20,4,0
20,5,1
20,6,1
20,7,1
20,8,0
20,9,1
20,10,1
21,1,0
21,2,0
21,3,1
21,4,0
21,5,0
21,6,1
21,7,1
21,8,1
21,9,1
21,10,0
22,1,0
22,2,1
22,3,0
22,4,0
22,5,0
22,6,0
22,7,1
22,8,1
22,9,0
22,10,1
23,1,0
23,2,0
23,3,0
23,4,1
23,5,0
23,6,0
23,7,1
23,8,1
23,9,1
23,10,1
24,1,0
24,2,0
24,3,0
24,4,1
24,5,1
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
25,1,0
25,2,0
25,3,1
25,4,1
25,5,1
25,6,0
25,7,0
25,8,1
25,9,1
25,10,0
26,1,1
26,2,0
26,3,1
26,4,1
26,5,0
26,6,1
26,7,1
26,8,0
26,9,0
26,10,0
27,1,1
27,2,1
27,3,0
27,4,1
27,5,0
27,6,1
27,7,1
27,8,0
27,9,0
27,10,0
28,1,1
28,2,0
28,3,1
28,4,0
28,5,0
28,6,0
28,7,1
28,8,1
28,9,0
28,10,0
29,1,1
29,2,0
29,3,0
29,4,0
29,5,0
29,6,0
29,7,1
29,8,1
29,9,1
29,10,1
30,1,0
30,2,1
30,3,0
30,4,1
30,5,1
30,6,1
30,7,1
30,8,0
30,9,0
30,10,0
31,1,0
31,2,0
31,3,1
31,4,0
31,5,1
31,6,1
31,7,1
31,8,1
31,9,0
31,10,1
32,1,1
32,2,1
32,3,1
32,4,1
32,5,1
32,6,1
32,7,0
32,8,0
32,9,1
32,10,1
33,1,0
33,2,1
33,3,1
33,4,1
33,5,1
33,6,1
33,7,0
33,8,1
33,9,1
33,10,0
34,1,1
34,2,1
34,3,0
34,4,0
34,5,0
34,6,1
34,7,1
34,8,1
34,9,0
34,10,1
35,1,1
35,2,0
35,3,0
35,4,0
35,5,0
35,6,1
35,7,0
35,8,1
35,9,0
35,10,1
36,1,1
36,2,0
36,3,1
36,4,1
36,5,0
36,6,0
36,7,0
36,8,1
36,9,1
36,10,1
37,1,0
37,2,0
37,3,1
37,4,1
37,5,1
37,6,1
