time,emitter_id,emitter_type,band,active
1,E1,periodic,1,0
1,E2,burst,2,0
1,E3,hopper,5,1
2,E1,periodic,1,0
2,E2,burst,2,0
2,E3,hopper,8,1
3,E1,periodic,1,0
3,E2,burst,2,0
3,E3,hopper,3,1
4,E1,periodic,1,0
4,E2,burst,2,0
4,E3,hopper,5,1
5,E1,periodic,1,1
5,E2,burst,2,0
5,E3,hopper,8,1
6,E1,periodic,1,0
6,E2,burst,2,0
6,E3,hopper,3,1
7,E1,periodic,1,0
7,E2,burst,2,0
7,E3,hopper,5,1
8,E1,periodic,1,0
8,E2,burst,2,0
8,E3,hopper,8,1
9,E1,periodic,1,0
9,E2,burst,2,0
9,E3,hopper,3,1
10,E1,periodic,1,1
10,E2,burst,2,0
10,E3,hopper,5,1
11,E1,periodic,1,0
11,E2,burst,2,0
11,E3,hopper,8,1
12,E1,periodic,1,0
12,E2,burst,2,0
12,E3,hopper,3,1
13,E1,periodic,1,0
13,E2,burst,2,0
13,E3,hopper,5,1
14,E1,periodic,1,0
14,E2,burst,2,0
14,E3,hopper,8,1
15,E1,periodic,1,1
15,E2,burst,2,0
15,E3,hopper,3,1
16,E1,periodic,1,0
16,E2,burst,2,0
16,E3,hopper,5,1
17,E1,periodic,1,0
17,E2,burst,2,0
17,E3,hopper,8,1
18,E1,periodic,1,0
18,E2,burst,2,0
18,E3,hopper,3,1
19,E1,periodic,1,0
19,E2,burst,2,0
19,E3,hopper,5,1
20,E1,periodic,1,1
20,E2,burst,2,1
20,E3,hopper,8,1
21,E1,periodic,1,0
21,E2,burst,2,1
21,E3,hopper,3,1
22,E1,periodic,1,0
22,E2,burst,2,1
22,E3,hopper,5,1
23,E1,periodic,1,0
23,E2,burst,2,1
23,E3,hopper,8,1
24,E1,periodic,1,0
24,E2,burst,2,1
24,E3,hopper,3,1
25,E1,periodic,1,1
25,E2,burst,2,1
25,E3,hopper,5,1
26,E1,periodic,1,0
26,E2,burst,2,1
26,E3,hopper,8,1
27,E1,periodic,1,0
27,E2,burst,2,1
27,E3,hopper,3,1
28,E1,periodic,1,0
28,E2,burst,2,1
28,E3,hopper,5,1
29,E1,periodic,1,0
29,E2,burst,2,1
29,E3,hopper,8,1
30,E1,periodic,1,1
30,E2,burst,2,1
30,E3,hopper,3,1
31,E1,periodic,1,0
31,E2,burst,2,0
31,E3,hopper,5,1
32,E1,periodic,1,0
32,E2,burst,2,0
32,E3,hopper,8,1
33,E1,periodic,1,0
33,E2,burst,2,0
33,E3,hopper,3,1
34,E1,periodic,1,0
34,E2,burst,2,0
34,E3,hopper,5,1
35,E1,periodic,1,1
35,E2,burst,2,0
35,E3,hopper,8,1
36,E1,periodic,1,0
36,E2,burst,2,0
36,E3,hopper,3,1
37,E1,periodic,1,0
37,E2,burst,2,0
37,E3,hopper,5,1
38,E1,periodic,1,0
38,E2,burst,2,0
38,E3,hopper,8,1
39,E1,periodic,1,0
39,E2,burst,2,0
39,E3,hopper,3,1
40,E1,periodic,1,1
40,E2,burst,2,0
40,E3,hopper,5,1
41,E1,periodic,1,0
41,E2,burst,2,0
41,E3,hopper,8,1
42,E1,periodic,1,0
42,E2,burst,2,0
42,E3,hopper,3,1
43,E1,periodic,1,0
43,E2,burst,2,0
43,E3,hopper,5,1
44,E1,periodic,1,0
44,E2,burst,2,0
44,E3,hopper,8,1
45,E1,periodic,1,1
45,E2,burst,2,0
45,E3,hopper,3,1
46,E1,periodic,1,0
46,E2,burst,2,0
46,E3,hopper,5,1
47,E1,periodic,1,0
47,E2,burst,2,0
47,E3,hopper,8,1
48,E1,periodic,1,0
48,E2,burst,2,0
48,E3,hopper,3,1
49,E1,periodic,1,0
49,E2,burst,2,0
49,E3,hopper,5,1
50,E1,periodic,1,1
50,E2,burst,2,0
50,E3,hopper,8,1
51,E1,periodic,1,0
51,E2,burst,2,0
51,E3,hopper,3,1
52,E1,periodic,1,0
52,E2,burst,2,0
52,E3,hopper,5,1
53,E1,periodic,1,0
53,E2,burst,2,0
53,E3,hopper,8,1
54,E1,periodic,1,0
54,E2,burst,2,0
54,E3,hopper,3,1
55,E1,periodic,1,1
55,E2,burst,2,0
55,E3,hopper,5,1
56,E1,periodic,1,0
56,E2,burst,2,0
56,E3,hopper,8,1
57,E1,periodic,1,0
57,E2,burst,2,0
57,E3,hopper,3,1
58,E1,periodic,1,0
58,E2,burst,2,0
58,E3,hopper,5,1
59,E1,periodic,1,0
59,E2,burst,2,0
59,E3,hopper,8,1
60,E1,periodic,1,1
60,E2,burst,2,1
60,E3,hopper,3,1
61,E1,periodic,1,0
61,E2,burst,2,1
61,E3,hopper,5,1
62,E1,periodic,1,0
62,E2,burst,2,1
62,E3,hopper,8,1
63,E1,periodic,1,0
63,E2,burst,2,1
63,E3,hopper,3,1
64,E1,periodic,1,0
64,E2,burst,2,1
64,E3,hopper,5,1
65,E1,periodic,1,1
65,E2,burst,2,1
65,E3,hopper,8,1
66,E1,periodic,1,0
66,E2,burst,2,1
66,E3,hopper,3,1
67,E1,periodic,1,0
67,E2,burst,2,1
67,E3,hopper,5,1
68,E1,periodic,1,0
68,E2,burst,2,1
68,E3,hopper,8,1
69,E1,periodic,1,0
69,E2,burst,2,1
69,E3,hopper,3,1
70,E1,periodic,1,1
70,E2,burst,2,1
70,E3,hopper,5,1
71,E1,periodic,1,0
71,E2,burst,2,0
71,E3,hopper,8,1
72,E1,periodic,1,0
72,E2,burst,2,0
72,E3,hopper,3,1
73,E1,periodic,1,0
73,E2,burst,2,0
73,E3,hopper,5,1
74,E1,periodic,1,0
74,E2,burst,2,0
74,E3,hopper,8,1
75,E1,periodic,1,1
75,E2,burst,2,0
75,E3,hopper,3,1
76,E1,periodic,1,0
76,E2,burst,2,0
76,E3,hopper,5,1
77,E1,periodic,1,0
77,E2,burst,2,0
77,E3,hopper,8,1
78,E1,periodic,1,0
78,E2,burst,2,0
78,E3,hopper,3,1
79,E1,periodic,1,0
79,E2,burst,2,0
79,E3,hopper,5,1
80,E1,periodic,1,1
80,E2,burst,2,0
80,E3,hopper,8,1
81,E1,periodic,1,0
81,E2,burst,2,0
81,E3,hopper,3,1
82,E1,periodic,1,0
82,E2,burst,2,0
82,E3,hopper,5,1
83,E1,periodic,1,0
83,E2,burst,2,0
83,E3,hopper,8,1
84,E1,periodic,1,0
84,E2,burst,2,0
84,E3,hopper,3,1
85,E1,periodic,1,1
85,E2,burst,2,0
85,E3,hopper,5,1
86,E1,periodic,1,0
86,E2,burst,2,0
86,E3,hopper,8,1
87,E1,periodic,1,0
87,E2,burst,2,0
87,E3,hopper,3,1
88,E1,periodic,1,0
88,E2,burst,2,0
88,E3,hopper,5,1
89,E1,periodic,1,0
89,E2,burst,2,0
89,E3,hopper,8,1
90,E1,periodic,1,1
90,E2,burst,2,0
90,E3,hopper,3,1
91,E1,periodic,1,0
91,E2,burst,2,0
91,E3,hopper,5,1
92,E1,periodic,1,0
92,E2,burst,2,0
92,E3,hopper,8,1
93,E1,periodic,1,0
93,E2,burst,2,0
93,E3,hopper,3,1
94,E1,periodic,1,0
94,E2,burst,2,0
94,E3,hopper,5,1
95,E1,periodic,1,1
95,E2,burst,2,0
95,E3,hopper,8,1
96,E1,periodic,1,0
96,E2,burst,2,0
96,E3,hopper,3,1
97,E1,periodic,1,0
97,E2,burst,2,0
97,E3,hopper,5,1
98,E1,periodic,1,0
98,E2,burst,2,0
98,E3,hopper,8,1
99,E1,periodic,1,0
99,E2,burst,2,0
99,E3,hopper,3,1
100,E1,periodic,1,1
100,E2,burst,2,0
100,E3,hopper,5,1
